key,value,time
el,1.00E+15,0
el,1.00E+15,1
el,1.00E+15,2
el,3.80E+14,3
el,3.00E+14,4
el,9.00E+14,5
el,9.00E+14,6
el,1.60E+14,7
el,5.10E+14,8
el,1.80E+13,9
el,3.70E+13,10
el,6.40E+14,11
el,9.20E+14,12
el,3.00E+11,13
el,2.70E+13,14
el,5.80E+14,15
el,6.10E+14,16
el,1.30E+13,17
el,5.50E+14,18
el,4.50E+14,19
el,7.00E+12,20
el,6.30E+14,21
el,1.40E+13,22
el,5.60E+14,23
el,4.00E+14,24
el,1.20E+14,25
el,1.50E+14,26
el,1.10E+14,27
el,9.00E+14,28
el,1.00E+15,29
el,3.20E+14,30
el,3.70E+14,31
el,1.20E+14,32
el,4.90E+14,33
el,7.80E+12,34
el,6.30E+14,35
el,4.30E+14,36
el,2.00E+14,37
el,4.30E+14,38
el,2.80E+14,39
el,3.90E+14,40
el,4.10E+14,41
el,1.70E+14,42
el,1.40E+14,43
el,3.80E+14,44
el,8.00E+13,45
el,7.90E+14,46
el,3.80E+14,47
el,2.00E+14,48
el,9.00E+14,49
el,1.10E+14,50
el,8.00E+14,51
el,2.20E+14,52
el,3.90E+14,53
el,1.50E+14,54
el,8.00E+14,55
el,1.00E+15,56
el,7.00E+14,57
el,9.20E+13,58
el,9.40E+13,59
el,9.90E+13,60
el,4.60E+13,61
el,5.00E+12,62
el,4.70E+14,63
el,75,64
el,4.70E+12,65
el,7.60E+14,66
el,5.30E+14,67
el,4.50E+14,68
el,3.50E+14,69
el,5.80E+14,70
el,3.70E+14,71
el,1.10E+14,72
el,9.00E+14,73
el,9.00E+14,74
el,1.10E+14,75
el,9.00E+14,76
el,3.80E+14,77
el,4.30E+14,78
el,2.40E+14,79
el,1.10E+14,80
el,2.40E+14,81
el,2.30E+14,82
el,1.20E+14,83
el,8.00E+14,84
el,3.30E+14,85
el,3.60E+14,86
el,3.10E+14,87
el,9.60E+14,88
el,4.20E+14,89
el,6.30E+14,90
el,8.00E+14,91
el,3.60E+14,92
el,4.60E+14,93
el,4.50E+14,94
el,2.30E+14,95
el,1.00E+15,96
el,1.10E+14,97
el,9.00E+14,98
el,9.00E+14,99
el,2.10E+14,100
el,4.60E+14,101
el,1.60E+14,102
el,8.00E+14,103
el,1.00E+15,104
el,2.60E+14,105
el,2.30E+14,106
el,1.40E+14,107
el,3.80E+14,108
el,2.60E+14,109
el,1.40E+14,110
el,9.00E+14,111
el,1.00E+12,112
el,5,113
el,4.20E+14,114
el,4.50E+14,115
el,4.60E+14,116
el,1.60E+14,117
el,2.40E+14,118
el,1.00E+14,119
el,1.00E+15,120
el,9.00E+14,121
el,1.40E+14,122
el,3.90E+14,123
el,25,124
el,1.70E+14,125
el,1.00E+15,126
el,9.00E+14,127
el,1.20E+14,128
el,2.20E+12,129
el,4.40E+14,130
el,3.90E+14,131
el,1.20E+14,132
el,25,133
el,6.00E+12,134
el,4.80E+14,135
el,4.50E+14,136
el,2.00E+13,137
el,1.40E+13,138
el,5.40E+14,139
